track_id,track_name,artist_name,album_name,release_date,release_date_precision,loudness
005lwxGU1tms6HGELIcUv9,I Kissed A Girl,Katy Perry,One Of The Boys,2008-06-17,day,-3.173
00CCi9yHJh7NjXcNT565Ja,You Make Me Feel Brand New,The Stylistics,Rockin' Roll Baby,1973-10-23,day,-8.567
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Donna Summer, Kygo",Hot Stuff,2020-09-18,day,-5.749
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,Let Go,2002-06-04,day,-4.417
00U0pedRUMEzREpyRqbVT6,I'll Remember (Theme from the Motion Picture With Honors),Madonna,Something to Remember,1995-11-17,day,-9.698
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,The Brothers Johnson,Right On Time,1977-01-01,day,-11.7
00s8dO3RWrFkBqC9JIy6ag,Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,2019-06-14,day,-5.715
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,Savage Garden,Savage Garden,1997-03-04,day,-8.874
014Y7CPce02N9bir2M1ePw,I Do,Lisa Loeb,Firecracker,1997-01-01,day,-6.659
015qd1I4v00JIoK7yOUgKC,Rush Rush,Paula Abdul,Spellbound,1991-01-01,day,-11.577
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Future Nostalgia,2020-03-27,day,-3.434
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,All Out Of Love,2018-02-02,day,-5.541
01PBPAt3tHA8YOTy3S0g9X,Love Yourself,Justin Bieber,Santaikustik,2021-06-20,day,-8.999
01XFgRZfZI7oBagNf1Loml,Harlem Shake,Baauer,Harlem Shake,2013-02-12,day,-5.151
01rYWOpu72uFQORnWN84C3,You Remind Me of Something,R. Kelly,R. Kelly,1995-11-10,day,-7.194
01uqI4H13Gsd8Lyl1EYd8H,Same Love - feat. Mary Lambert,"Macklemore & Ryan Lewis, Mary Lambert",The Heist,2012-10-09,day,-9.059
027tq4cWr0kRxLTfdxvM1L,4 Seasons Of Loneliness,Boyz II Men,Evolution,1997-03-23,day,-10.494
02KLiEs31kxh1krQJezlTL,I've Been Thinking About You,Londonbeat,In The Blood,1990-01-01,day,-14.986
02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,Revolution,2009-09-24,day,-8.005
02mQcDoU5cn15U6tqZmL4e,Disappear,INXS,X,1990,year,-3.403
03GzYByXsXHcoEAxjsWv9G,Slow Motion,Color Me Badd,C.M.B.,1991-07-23,day,-7.747
03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),2012-01-01,day,-2.871
03fT3OHB9KyMtGMt2zwqCT,Play It Again,Luke Bryan,Crash My Party,2013-01-01,day,-3.225
03i9ehMBCqbxKw7wwEycFZ,Only in My Dreams,Debbie Gibson,Out Of The Blue,1987,year,-10.885
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",Flockaveli,2010-10-01,day,-6.366
03zB9duFz1JqLxAIYvGdac,I'm In You,Peter Frampton,I'm In You,1977-05-28,day,-7.16
046MBhhgQJJghnbgZCkaAR,I Need You,LeAnn Rimes,I Need You,2001-01-30,day,-7.124
04EnF5C2HvYZfGu64Bng7I,What You Need,INXS,Listen Like Thieves,1985-10-14,day,-6.045
04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,Nellyville,2002-06-25,day,-4.753
04OjLvOApQve45B0ISx4XN,I Want to Know What Love Is,Foreigner,Feels Like The First Time,2011-09-13,day,-7.793
04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,American Beauty/American Psycho,2015-01-20,day,-2.868
04fX3oTJm5Zucg3Uf9aix0,Fuck Wit Dre Day (And Everybody's Celebratin'),Dr. Dre,The Chronic,1992-12-15,day,-7.461
04ijIUVdT4Qy1SBWFUPROY,Trouble,Lindsey Buckingham,Law and Order,1981,year,-12.91
05R2lE5g9hnaSmxIrUl3C0,I Adore Mi Amor,Color Me Badd,C.M.B.,1991-07-23,day,-9.995
05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",18 Months,2012-10-29,day,-5.066
05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),"Yung Joc, Nitti",New Joc City (Explicit Content U.S. Version),2006-06-06,day,-7.702
05ZACkzW8YbRq3eFgIfSNB,Springsteen,Eric Church,Chief,2011-01-01,day,-5.935
05vL56xSoxthM0r7IfcQjo,If I Ever Lose My Faith In You,Sting,Ten Summoner's Tales,1993-03-09,day,-9.539
06EL94D0TA27Ik0Ke5usbj,The Way,"Ariana Grande, Mac Miller",Yours Truly,2013-01-01,day,-3.208
06IsyJksK6vgJX66rU77Ij,Fortress Around Your Heart,Sting,The Dream Of The Blue Turtles,1985-01-01,day,-15.447
06T10fEzN8ZCcqzQZYA184,Gotta Be Somebody,Nickelback,Dark Horse,2008-10-28,day,-5.222
06TuMCjDEYjTOJScCRzmjf,Don't Let Go (Love),En Vogue,EV3,1997-06-17,day,-5.867
06uiDyZsrwnZ0o0q1Y8Ax2,Mr. Bojangles,Nitty Gritty Dirt Band,Mr. Bojangles,2008-01-01,day,-6.957
06xkqQuJzl1ddeK48jG6qa,Fire,Ohio Players,Fire,1974-06-01,day,-11.794
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me for Being Antisocial,2019-12-06,day,-8.442
07M76e7IXxYdnC1BBiJxEX,All The Man That I Need,Whitney Houston,I'm Your Baby Tonight,1990-11-04,day,-9.958
07OzC5JlcaDwEkzWmvqp6y,Nasty,Janet Jackson,Control,1986-02-04,day,-11.697
07SajbxT3mMTKhbkGjVMBW,Party Like A Rockstar - (Choppa Dunks Remix),"Shop Boyz, Choppa Dunks",Party Like A Rockstar (Choppa Dunks Remix),2016-10-28,day,-4.133
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,Dynasty,1979-03-23,day,-6.215
0815caqt2Lytro5EIzMufT,You And Me,Lifehouse,Lifehouse,2005-03-22,day,-7.734
08GOEVXupC6ECbulhPGQKm,Stranger in My House,Tamia,A Nu Day,2000-10-01,day,-4.905
08bNPGLD8AhKpnnERrAc6G,FRIENDS,"Marshmello, Anne-Marie",FRIENDS,2018-02-09,day,-2.384
08kvJTpcthAvvvW0BAcGHN,I Go Crazy,Paul Davis,"Singer of Songs, Teller of Tales",1977-03-17,day,-8.66
08onVqQ8YicJ98Ycm1qoLf,Urgent,Foreigner,4 (Expanded),1981,year,-5.849
08tq1XcHwVt5PHXUo87i0D,All To Myself,Dan + Shay,Dan + Shay,2018-06-22,day,-4.616
